瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),浅氢(16规困),嚼档(%),泅瘤扁拘(hPa),老炼(hr),老荤(MJ/m2),利汲(cm),傈款樊(10盒困),瘤搁柯档(∑C)
184,力林,2021-01-10 2:00,0.9,,3.6,320,67,1025.1,,,4.5,7,1.2
184,力林,2021-01-10 3:00,1.3,,4.1,360,69,1025.2,,,4.5,7,1.3
184,力林,2021-01-10 4:00,1.6,,4.1,340,68,1024.9,,,4.3,7,1.3
184,力林,2021-01-10 5:00,1.7,,2.8,290,64,1024.5,,,4.3,7,1.3
184,力林,2021-01-10 6:00,1.4,,1.8,250,69,1024.6,,,4.3,7,1.3
184,力林,2021-01-10 7:00,1.4,,1.4,250,74,1024.7,,,4.3,9,1.3
184,力林,2021-01-10 8:00,1.9,,5.5,320,82,1025.1,0,0,4,9,1.3
184,力林,2021-01-10 9:00,2.8,0,3.3,320,73,1025.3,0,0.12,4,9,1.1
184,力林,2021-01-10 10:00,3.8,,3.7,290,63,1025.6,0,0.31,3.5,8,0.9
184,力林,2021-01-10 11:00,4.3,,3.6,290,59,1025.6,0,0.34,3,9,0.8
184,力林,2021-01-10 12:00,4.1,0,4.1,290,63,1024.8,0,0.4,2.7,9,0.8
184,力林,2021-01-10 13:00,4.4,,4,290,68,1024.2,0,0.38,2.5,10,0.7
184,力林,2021-01-10 14:00,4.9,,5.8,320,60,1023.7,0,0.31,1.5,10,0.8
184,力林,2021-01-10 15:00,5,0,6.8,290,62,1024,0,0.32,1,10,2.2
184,力林,2021-01-10 16:00,4.9,,6.4,320,58,1024.1,0,0.25,0.5,10,2.6
184,力林,2021-01-10 17:00,4.9,,5.7,290,58,1024,0,0.19,0.5,9,2.5
184,力林,2021-01-10 18:00,5,0,6.8,320,63,1024.3,0,0.01,0.5,10,2.3
184,力林,2021-01-10 19:00,4.9,,5.7,320,56,1025.1,,,,8,1.8
184,力林,2021-01-10 20:00,4.9,,4.6,320,61,1025.4,,,,10,1.9
184,力林,2021-01-10 21:00,4.9,0,5.1,320,52,1025.7,,,,9,1.9
184,力林,2021-01-10 22:00,4.7,,4.3,340,53,1025.7,,,,10,2
184,力林,2021-01-10 23:00,4.5,,3.9,360,52,1025.6,,,,10,2
184,力林,2021-01-11 0:00,4.6,,3.2,360,52,1025.3,,,,10,1.9
184,力林,2021-01-11 1:00,4.7,,3.4,340,54,1025.5,,,,10,2
184,力林,2021-01-11 2:00,4.7,,3.2,320,53,1026.4,,,,10,2.1
184,力林,2021-01-11 3:00,4.9,,2.6,290,56,1026.4,,,,10,2.2
184,力林,2021-01-11 4:00,4.9,,3.3,320,57,1025.5,,,,10,2.4
184,力林,2021-01-11 5:00,5,,3.7,320,55,1024.7,,,,10,2.3
184,力林,2021-01-11 6:00,4.9,0,2.8,290,63,1024.8,,,,10,2.5
184,力林,2021-01-11 7:00,4.1,,0.2,0,63,1023.9,,,,10,2.7
184,力林,2021-01-11 8:00,3.6,,1.7,160,74,1023.8,0,0,,10,2.8
184,力林,2021-01-11 9:00,2.8,0.2,1.9,250,84,1025.6,0,0,,10,3
184,力林,2021-01-11 10:00,1.6,,2.5,200,91,1026.2,0,0.03,,10,0.3
184,力林,2021-01-11 11:00,2.3,,1.9,180,91,1025.4,0,0.07,,10,1.1
184,力林,2021-01-11 12:00,3.1,5.6,1,180,89,1024.1,0,0.15,,10,3
184,力林,2021-01-11 13:00,3.6,,1.2,200,83,1023,0,0.24,,10,3.8
184,力林,2021-01-11 14:00,3.4,,2.1,360,78,1021.8,0,0.05,,10,3.4
184,力林,2021-01-11 15:00,3.2,0.2,2.1,180,86,1021.7,0,0.26,,10,4.7
184,力林,2021-01-11 16:00,3.6,,2.3,180,84,1020.6,0,0.2,,10,4.6
184,力林,2021-01-11 17:00,3.7,,1.3,180,81,1020.1,0,0.22,,10,4.2
184,力林,2021-01-11 18:00,3.8,,1.1,180,81,1020.5,0,0.02,,10,3.6
184,力林,2021-01-11 19:00,3.2,,1.3,110,83,1020.7,,,,10,3
184,力林,2021-01-11 20:00,3,,1.1,250,86,1021,,,,10,3.1
184,力林,2021-01-11 21:00,1.8,1.9,2.2,200,91,1021.3,,,,10,2.4
184,力林,2021-01-11 22:00,2.1,,2.5,200,92,1020.9,,,,10,2.4
184,力林,2021-01-11 23:00,1.9,,2.5,200,92,1020.4,,,,10,1.9
184,力林,2021-01-12 0:00,2.7,2.9,5.1,290,82,1020.3,,,,10,2.3
184,力林,2021-01-12 1:00,3.4,,3.7,290,81,1019.7,,,,9,2.6
184,力林,2021-01-12 2:00,4.3,,5.4,320,71,1019.6,,,,10,2.5
184,力林,2021-01-12 3:00,4.5,0.2,5.6,290,56,1019.3,,,,10,2.2
184,力林,2021-01-12 4:00,4.5,,5,290,53,1018.8,,,,8,2
184,力林,2021-01-12 5:00,4.5,,4.8,320,54,1018.5,,,,8,1.8
184,力林,2021-01-12 6:00,4.4,,4.9,320,57,1018.2,,,,8,1.9
184,力林,2021-01-12 7:00,4.3,,3.9,290,53,1018.2,,,,9,1.8
184,力林,2021-01-12 8:00,4.5,,4.3,290,54,1018.2,0,0,,9,1.9
184,力林,2021-01-12 9:00,4.6,,3.4,290,53,1018.5,0,0.1,,9,2.7
184,力林,2021-01-12 10:00,4.7,,3.6,290,55,1018.7,0,0.29,,9,3.8
184,力林,2021-01-12 11:00,4.8,,2.4,250,56,1018.5,0,0.21,,9,3.4
184,力林,2021-01-12 12:00,4.3,,3.7,200,70,1017.9,0.1,0.49,,9,7.4
184,力林,2021-01-12 13:00,5.8,,3.2,230,59,1016.8,0.7,1.64,,8,11.7
184,力林,2021-01-12 14:00,4.2,,3.6,180,75,1016,0.2,0.49,,10,7.9
184,力林,2021-01-12 15:00,3.9,1,2,230,85,1015.9,0,0.26,,10,5.8
184,力林,2021-01-12 16:00,4.6,,2.3,180,81,1015.6,0,0.18,,9,5.2
184,力林,2021-01-12 17:00,5.4,,3.1,230,67,1015.7,0,0.06,,9,4.4
184,力林,2021-01-12 18:00,5.6,0,2.9,250,60,1015.7,0,0.02,,8,3.7
184,力林,2021-01-12 19:00,5.7,,4.4,230,56,1016.1,,,,9,3.3
184,力林,2021-01-12 20:00,5.3,,3.2,200,58,1016.5,,,,9,2.7
184,力林,2021-01-12 21:00,4.9,,3.3,230,60,1016.7,,,,4,1.8
184,力林,2021-01-12 22:00,4.8,,3.3,200,59,1017,,,,4,1.2
184,力林,2021-01-12 23:00,4.6,,3.2,200,60,1016.8,,,,4,1
184,力林,2021-01-13 0:00,5.3,,3.7,200,57,1016.5,,,,5,1.5
184,力林,2021-01-13 1:00,5.8,,2.9,230,58,1016.3,,,,7,2.2
184,力林,2021-01-13 2:00,6.4,,3.4,230,56,1016.1,,,,9,2.6
184,力林,2021-01-13 3:00,6.3,,3.5,200,56,1015.6,,,,7,2.3
184,力林,2021-01-13 4:00,6.7,,3.7,200,54,1015.8,,,,9,2.7
184,力林,2021-01-13 5:00,7.2,,3.4,200,55,1015.7,,,,9,3.2
184,力林,2021-01-13 6:00,7.6,,3.2,200,52,1015.4,,,,9,3.4
184,力林,2021-01-13 7:00,7.7,,3.1,200,53,1015.6,,,,8,3.2
